edgeID,startNode,endNode
bHALL00202_bHALL00302,bHALL00302,bHALL00202
bHALL00502_bDEPT00102,bDEPT00102,bHALL00502
bHALL01001_bSTAI00101,bHALL01001,bSTAI00101
bHALL00102_bHALL00202,bHALL00202,bHALL00102
bHALL00102_bHALL00602,bHALL00602,bHALL00102
bHALL00203_bLABS00103,bLABS00103,bHALL00203
bHALL01001_bHALL00201,bHALL01001,bHALL00201
bHALL00901_bHALL00101,bHALL00101,bHALL00901
bREST00101_bHALL00901,bREST00101,bHALL00901
bHALL00801_bHALL00401,bHALL00401,bHALL00801
bDEPT00201_bHALL00601,bHALL00601,bDEPT00201
bHALL00501_bHALL00701,bHALL00701,bHALL00501
bHALL00401_bHALL00501,bHALL00501,bHALL00401
bSTAI00101_bSTAI00102,bSTAI00102,bSTAI00101
bHALL00401_bDEPT00101,bDEPT00101,bHALL00401
bHALL00201_bHALL00301,bHALL00301,bHALL00201
bHALL00603_bHALL00503,bHALL00603,bHALL00503
bHALL00901_bHALL01001,bHALL00901,bHALL01001
bHALL00201_bSTAI00101,bSTAI00101,bHALL00201
bHALL00402_bHALL00502,bHALL00502,bHALL00402
bSTAI00101_bHALL00101,bSTAI00101,bHALL00101
bHALL00202_bSTAI00102,bSTAI00102,bHALL00202
bHALL00403_bHALL00503,bHALL00503,bHALL00403
bHALL01001_bHALL00101,bHALL01001,bHALL00101
bHALL00303_bHALL00403,bHALL00403,bHALL00303
bHALL00203_bHALL00303,bHALL00303,bHALL00203
bHALL003L2_bHALL004L2,bHALL003L2,bHALL004L2
bHALL00103_bHALL00203,bHALL00203,bHALL00103
bHALL002L2_bHALL003L2,bHALL002L2,bHALL003L2
bHALL001L2_bHALL002L2,bHALL002L2,bHALL001L2
bHALL00901_bHALL00201,bHALL00201,bHALL00901
bHALL00101_bRETL00101,bRETL00101,bHALL00101
bDEPT00301_bHALL00701,bHALL00701,bDEPT00301
bHALL00301_bHALL00801,bHALL00801,bHALL00301
bHALL00501_bHALL00601,bHALL00601,bHALL00501
bHALL00301_bHALL00401,bHALL00401,bHALL00301
bHALL00101_bHALL00201,bHALL00201,bHALL00101
bHALL00302_bHALL00402,bHALL00402,bHALL00302
bHALL00602_bHALL01002,bHALL00602,bHALL01002
bSTAI00102_bHALL00402,bHALL00402,bSTAI00102
bSTAI00102_bHALL00102,bSTAI00102,bHALL00102
bHALL00102_bHALL00202,bHALL00102,bHALL00202
bHALL00202_bHALL00502,bHALL00202,bHALL00502
bHALL00602_bHALL00702,bHALL00602,bHALL00702
bHALL00702_bHALL01002,bHALL00702,bHALL01002
bHALL00802_bSTAI00302,bHALL00802,bSTAI00302
bHALL00202_bSTAI00202,bHALL00202,bSTAI00202
bHALL01102_bHALL01002,bHALL01102,bHALL01002
bDEPT002L1_bDEPT003L1,bDEPT002L1,bDEPT003L1
bHALL001L1_bREST001L1,bHALL001L1,bREST001L1
bHALL003L2_bHALL002L2,bHALL003L2,bHALL002L2
bHALL004L2_bHALL003L2,bHALL004L2,bHALL003L2
bHALL005L1_bELEV00ML1,bHALL005L1,bELEV00ML1
bHALL005L2_bHALL006L2,bHALL005L2,bHALL006L2
bHALL005L2_bELEV00ML2,bHALL005L2,bELEV00ML2
bHALL006L2_bHALL007L2,bHALL006L2,bHALL007L2
bLABS001L1_bREST002L1,bLABS001L1,bREST002L1
bLABS002L1_bHALL005L1,bLABS002L1,bHALL005L1
bLABS002L1_bREST001L1,bLABS002L1,bREST001L1
bELEV00LL1_bHALL001L1,bELEV00LL1,bHALL001L1
bELEV00ML1_bLABS001L1,bELEV00ML1,bLABS001L1
bHALL001L2_bHALL005L2,bHALL001L2,bHALL005L2
bHALL00102_bHALL00202,bHALL00102,bHALL00202
bHALL00202_bHALL00302,bHALL00202,bHALL00302
bHALL00302_bHALL00402,bHALL00302,bHALL00402
bHALL00302_bHALL00502,bHALL00302,bHALL00502
bHALL00502_bHALL00602,bHALL00502,bHALL00602
bHALL00602_bHALL00702,bHALL00602,bHALL00702
bHALL00702_bHALL00802,bHALL00702,bHALL00802
bHALL00802_bHALL00902,bHALL00802,bHALL00902
bHALL00902_bHALL01002,bHALL00902,bHALL01002
bHALL01002_bHALL01102,bHALL01002,bHALL01102
bHALL00902_bSTAI00102,bHALL00902,bSTAI00102
bHALL00201_bSTAI00101,bHALL00201,bSTAI00101
bSTAI00101_bHALL00301,bSTAI00101,bHALL00301
bHALL00301_bHALL00401,bHALL00301,bHALL00401
bHALL00401_bSTAI00201,bHALL00401,bSTAI00201
bSTAI00201_bEXIT00101,bSTAI00201,bEXIT00101
bHALL00401_bHALL00501,bHALL00401,bHALL00501
bHALL00501_bHALL00601,bHALL00501,bHALL00601
bHALL00601_bHALL00701,bHALL00601,bHALL00701
bHALL00701_bDEPT00101,bHALL00701,bDEPT00101
bHALL00601_bHALL00801,bHALL00601,bHALL00801
bHALL00801_bINFO00101,bHALL00801,bINFO00101
bHALL00801_bHALL00901,bHALL00801,bHALL00901
bHALL00901_bHALL01001,bHALL00901,bHALL01001
bHALL00901_bHALL01101,bHALL00901,bHALL01101
bHALL01101_bHALL01201,bHALL01101,bHALL01201
bHALL01201_bHALL01301,bHALL01201,bHALL01301
bHALL01301_bHALL01401,bHALL01301,bHALL01401
bHALL01101_bHALL01501,bHALL01101,bHALL01501
bHALL01501_bHALL01601,bHALL01501,bHALL01601
bHALL01601_bHALL01701,bHALL01601,bHALL01701
bHALL01601_bHALL01801,bHALL01601,bHALL01801
bHALL01901_bHALL02001,bHALL01901,bHALL02001
bHALL02001_bREST00101,bHALL02001,bREST00101
bREST00101_bEXIT00201,bREST00101,bEXIT00201
bHALL02001_bLABS00101,bHALL02001,bLABS00101
bHALL01901_bDEPT00201,bHALL01901,bDEPT00201
bDEPT00201_bDEPT00301,bDEPT00201,bDEPT00301
bDEPT00301_bHALL02101,bDEPT00301,bHALL02101
bHALL02101_bHALL02201,bHALL02101,bHALL02201
bHALL02201_bHALL02301,bHALL02201,bHALL02301
bHALL01401_bHALL02401,bHALL01401,bHALL02401
bHALL02401_bHALL02501,bHALL02401,bHALL02501
bHALL01801_bHALL02501,bHALL01801,bHALL02501
bHALL02601_bHALL02701,bHALL02601,bHALL02701
bHALL02501_bHALL02801,bHALL02501,bHALL02801
bHALL02401_bHALL02901,bHALL02401,bHALL02901
bHALL02901_bHALL03001,bHALL02901,bHALL03001
bHALL03001_bSTAI00301,bHALL03001,bSTAI00301
bDEPT00401_bHALL03101,bDEPT00401,bHALL03101
bDEPT00401_bHALL03201,bDEPT00401,bHALL03201
bHALL03201_bHALL03301,bHALL03201,bHALL03301
bHALL00101_bHALL00101,bHALL00101,bHALL00101
bHALL00101_bHALL00201,bHALL00101,bHALL00201
bHALL00201_bSTAI00101,bHALL00201,bSTAI00101
bHALL00301_bEXIT00101,bHALL00301,bEXIT00101
bHALL00201_bHALL00301,bHALL00201,bHALL00301
bHALL00301_bHALL00401,bHALL00301,bHALL00401
bRETL00101_bHALL00401,bRETL00101,bHALL00401
bHALL00401_bHALL00501,bHALL00401,bHALL00501
bHALL00501_bSERV00101,bHALL00501,bSERV00101
bHALL00601_bHALL00501,bHALL00601,bHALL00501
bELEV00L01_bHALL00601,bELEV00L01,bHALL00601
bHALL00701_bELEV00L01,bHALL00701,bELEV00L01
bHALL00801_bHALL00701,bHALL00801,bHALL00701
bHALL00901_bHALL00801,bHALL00901,bHALL00801
bHALL00901_bHALL01301,bHALL00901,bHALL01301
bHALL01001_bHALL01301,bHALL01001,bHALL01301
bSTAI00201_bHALL01001,bSTAI00201,bHALL01001
bHALL01101_bHALL00901,bHALL01101,bHALL00901
bDEPT00101_bHALL01301,bDEPT00101,bHALL01301
bHALL01201_bHALL01101,bHALL01201,bHALL01101
bHALL01401_bHALL01101,bHALL01401,bHALL01101
bHALL01401_bSERV00201,bHALL01401,bSERV00201
bHALL01501_bHALL01401,bHALL01501,bHALL01401
bHALL01601_bHALL01501,bHALL01601,bHALL01501
bDEPT00301_bHALL01701,bDEPT00301,bHALL01701
bHALL01701_bHALL01801,bHALL01701,bHALL01801
bHALL01801_bHALL00701,bHALL01801,bHALL00701
bHALL01801_bHALL03201,bHALL01801,bHALL03201
bHALL01901_bHALL01601,bHALL01901,bHALL01601
bDEPT00201_bHALL02001,bDEPT00201,bHALL02001
bSERV00301_bHALL02001,bSERV00301,bHALL02001
bHALL01901_bHALL02001,bHALL01901,bHALL02001
bHALL01901_bHALL02101,bHALL01901,bHALL02101
bDEPT00401_bHALL02101,bDEPT00401,bHALL02101
bHALL02201_bHALL02101,bHALL02201,bHALL02101
bHALL02201_bELEV00M01,bHALL02201,bELEV00M01
bELEV00M01_bHALL02301,bELEV00M01,bHALL02301
bLABS00101_bHALL02301,bLABS00101,bHALL02301
bHALL02301_bHALL02401,bHALL02301,bHALL02401
bHALL02401_bHALL02501,bHALL02401,bHALL02501
bSTAI00301_bHALL02501,bSTAI00301,bHALL02501
bHALL02601_bHALL03101,bHALL02601,bHALL03101
bHALL02501_bHALL02601,bHALL02501,bHALL02601
bHALL02701_bHALL02601,bHALL02701,bHALL02601
bHALL02201_bHALL02801,bHALL02201,bHALL02801
bHALL02801_bEXIT00201,bHALL02801,bEXIT00201
bHALL02901_bHALL02801,bHALL02901,bHALL02801
bHALL02901_bINFO00101,bHALL02901,bINFO00101
bSERV00501_bHALL02901,bSERV00501,bHALL02901
bSERV00501_bHALL03001,bSERV00501,bHALL03001
bRETL00201_bHALL03001,bRETL00201,bHALL03001
bHALL03101_bHALL00201,bHALL03101,bHALL00201
bHALL03101_bREST00101,bHALL03101,bREST00101
bDEPT00501_bEXIT00301,bDEPT00501,bEXIT00301
bHALL03201_bHALL01601,bHALL03201,bHALL01601
bHALL03201_bDEPT00601,bHALL03201,bDEPT00601
bHALL02701_bHALL03301,bHALL02701,bHALL03301
bHALL03301_bDEPT00501,bHALL03301,bDEPT00501
bHALL002L2_bHALL001L2,bHALL002L2,bHALL001L2
bEXIT00101_bHALL00201,bEXIT00101,bHALL00201
bHALL00201_bHALL00301,bHALL00201,bHALL00301
bHALL00601_bHALL00701,bHALL00601,bHALL00701
bHALL00701_bHALL00801,bHALL00701,bHALL00801
bHALL00801_bHALL00901,bHALL00801,bHALL00901
bHALL00901_bHALL01001,bHALL00901,bHALL01001
bHALL01401_bHALL00801,bHALL01401,bHALL00801
bHALL01401_bHALL01501,bHALL01401,bHALL01501
bHALL01501_bHALL01601,bHALL01501,bHALL01601
bHALL00701_bHALL01701,bHALL00701,bHALL01701
bHALL00301_bHALL02101,bHALL00301,bHALL02101
bHALL02101_bHALL02201,bHALL02101,bHALL02201
bHALL02101_bHALL02801,bHALL02101,bHALL02801
bHALL02801_bHALL02901,bHALL02801,bHALL02901
bHALL02901_bHALL03001,bHALL02901,bHALL03001
bHALL03001_bHALL03101,bHALL03001,bHALL03101
bHALL03001_bHALL03301,bHALL03001,bHALL03301
bHALL00502_bHALL00302,bHALL00502,bHALL00302
bHALL00302_bHALL00402,bHALL00302,bHALL00402
bHALL00402_bHALL00202,bHALL00402,bHALL00202
bHALL00202_bHALL00102,bHALL00202,bHALL00102
bHALL00102_bHALL00302,bHALL00102,bHALL00302
bHALL00103_bHALL00203,bHALL00103,bHALL00203
bHALL00203_bHALL00303,bHALL00203,bHALL00303
bHALL00603_bHALL00703,bHALL00603,bHALL00703
bHALL00603_bHALL00803,bHALL00603,bHALL00803
bHALL01003_bHALL01103,bHALL01003,bHALL01103
bHALL01003_bHALL01303,bHALL01003,bHALL01303
bHALL002L1_bHALL003L1,bHALL002L1,bHALL003L1
bHALL003L1_bHALL004L1,bHALL003L1,bHALL004L1
bHALL003L1_bHALL005L1,bHALL003L1,bHALL005L1
bELEV00L02_bHALL00102,bELEV00L02,bHALL00102
bHALL00102_bHALL00202,bHALL00102,bHALL00202
bHALL00202_bRETL00102,bHALL00202,bRETL00102
bHALL00202_bHALL00302,bHALL00202,bHALL00302
bHALL00302_bSTAI00102,bHALL00302,bSTAI00102
bHALL00302_bHALL00302,bHALL00302,bHALL00302
bHALL00102_bHALL00402,bHALL00102,bHALL00402
bHALL00402_bHALL00502,bHALL00402,bHALL00502
bHALL00502_bRETL00202,bHALL00502,bRETL00202
bRETL00202_bBATH00102,bRETL00202,bBATH00102
bHALL00502_bRETL00302,bHALL00502,bRETL00302
bHALL00502_bHALL00602,bHALL00502,bHALL00602
bHALL00602_bHALL00702,bHALL00602,bHALL00702
bHALL00702_bSTAI00202,bHALL00702,bSTAI00202
bHALL00702_bHALL00802,bHALL00702,bHALL00802
bHALL00802_bSTAI00302,bHALL00802,bSTAI00302
bHALL00802_bHALL00902,bHALL00802,bHALL00902
bHALL00902_bHALL00702,bHALL00902,bHALL00702
bHALL00902_bELEV00M02,bHALL00902,bELEV00M02
bELEV00M02_bHALL01002,bELEV00M02,bHALL01002
bHALL01002_bDEPT00102,bHALL01002,bDEPT00102
bHALL01002_bHALL00502,bHALL01002,bHALL00502
bHALL00103_bELEV00M03,bHALL00103,bELEV00M03
bELEV00M03_bHALL00503,bELEV00M03,bHALL00503
bHALL00503_bSTAI00103,bHALL00503,bSTAI00103
bHALL00503_bHALL00403,bHALL00503,bHALL00403
bHALL00403_bHALL00303,bHALL00403,bHALL00303
bHALL00303_bHALL00203,bHALL00303,bHALL00203
bHALL00203_bLABS00103,bHALL00203,bLABS00103
bHALL00303_bHALL00103,bHALL00303,bHALL00103
bELEV00L03_bHALL00603,bELEV00L03,bHALL00603
bHALL00603_bHALL00703,bHALL00603,bHALL00703
bHALL00703_bDEPT00103,bHALL00703,bDEPT00103
bHALL00703_bHALL00803,bHALL00703,bHALL00803
bHALL00803_bSERV00103,bHALL00803,bSERV00103
bHALL00803_bHALL00903,bHALL00803,bHALL00903
bHALL00903_bHALL01003,bHALL00903,bHALL01003
bHALL01003_bBATH00103,bHALL01003,bBATH00103
bHALL00903_bHALL01103,bHALL00903,bHALL01103
bHALL01103_bDEPT00203,bHALL01103,bDEPT00203
bHALL01103_bHALL01203,bHALL01103,bHALL01203
bHALL01203_bHALL01303,bHALL01203,bHALL01303
bHALL01303_bHALL01403,bHALL01303,bHALL01403
bHALL01403_bHALL01503,bHALL01403,bHALL01503
bHALL01503_bBATH00203,bHALL01503,bBATH00203
bHALL01503_bHALL00603,bHALL01503,bHALL00603
bSTAI00102_bSTAI00101,bSTAI00102,bSTAI00101
bHALL00203_bHALL00103,bHALL00203,bHALL00103
bHALL00103_bHALL00203,bHALL00103,bHALL00203
bHALL00203_bHALL00303,bHALL00203,bHALL00303
bHALL00303_bHALL00403,bHALL00303,bHALL00403
bHALL00403_bHALL00503,bHALL00403,bHALL00503
bHALL00503_bHALL00603,bHALL00503,bHALL00603
bHALL00603_bHALL00703,bHALL00603,bHALL00703
bHALL00703_bHALL00803,bHALL00703,bHALL00803
bHALL00803_bHALL01003,bHALL00803,bHALL01003
bHALL01003_bHALL00903,bHALL01003,bHALL00903
bHALL01003_bHALL01103,bHALL01003,bHALL01103
bHALL01303_bHALL01203,bHALL01303,bHALL01203
bHALL01203_bHALL01503,bHALL01203,bHALL01503
bHALL01303_bHALL01403,bHALL01303,bHALL01403
bHALL00203_bDEPT00103,bHALL00203,bDEPT00103
bHALL00303_bDEPT00203,bHALL00303,bDEPT00203
bHALL01303_bHALL00203,bHALL01303,bHALL00203
bELEV00LL2_bELEV00LL1,bELEV00LL2,bELEV00LL1
bELEV00LL2_bELEV00L01,bELEV00LL2,bELEV00L01
bELEV00LL2_bELEV00L02,bELEV00LL2,bELEV00L02
bELEV00LL2_bELEV00L03,bELEV00LL2,bELEV00L03
bELEV00LL1_bELEV00L01,bELEV00LL1,bELEV00L01
bELEV00LL1_bELEV00L02,bELEV00LL1,bELEV00L02
bELEV00LL1_bELEV00L03,bELEV00LL1,bELEV00L03
bELEV00L01_bELEV00L02,bELEV00L01,bELEV00L02
bELEV00L01_bELEV00L03,bELEV00L01,bELEV00L03
bELEV00L02_bELEV00L03,bELEV00L02,bELEV00L03
bELEV00ML2_bELEV00ML1,bELEV00ML2,bELEV00ML1
bELEV00ML2_bELEV00M01,bELEV00ML2,bELEV00M01
bELEV00ML2_bELEV00M02,bELEV00ML2,bELEV00M02
bELEV00ML2_bELEV00M03,bELEV00ML2,bELEV00M03
bELEV00ML1_bELEV00M01,bELEV00ML1,bELEV00M01
bELEV00ML1_bELEV00M02,bELEV00ML1,bELEV00M02
bELEV00ML1_bELEV00M03,bELEV00ML1,bELEV00M03
bELEV00M01_bELEV00M02,bELEV00M01,bELEV00M02
bELEV00M01_bELEV00M03,bELEV00M01,bELEV00M03
bELEV00M02_bELEV00M03,bELEV00M02,bELEV00M03
bHALL001L2_bHALL002L2,bHALL001L2,bHALL002L2
bHALL00101_bHALL00201,bHALL00101,bHALL00201
bHALL00103_bHALL00203,bHALL00103,bHALL00203
bHALL00102_bHALL00202,bHALL00102,bHALL00202
bHALL00302_bHALL00402,bHALL00302,bHALL00402
bHALL00502_bHALL00602,bHALL00502,bHALL00602
bHALL00702_bHALL00802,bHALL00702,bHALL00802
bHALL00902_bHALL01002,bHALL00902,bHALL01002